Pais,Anio,Emisiones_de_CO2,Consumo_energia,Produccion_energia,PBI,Poblacion,Intencidad_per_capita,Intensidad_por_PBI
Barbados,2005,1.158852797,0.024565423806506566,0.003115758317821001,4.39922,276.32,88.902083839412882,5.5840407632504325
Barbados,2006,1.551695148,0.024621200856259354,0.0033488563096031017,4.64859,277.475,88.733042098420952,5.29648793639778
Barbados,2007,1.45270089,0.023490809818600012,0.0028380529178210017,4.75095,278.701,84.286779805598158,4.9444447570696415
Barbados,2008,1.409851156,0.027698550774100012,0.0027766260217054429,4.7841,279.946,98.942477385281492,5.7897098250663683
Barbados,2009,1.43339064,0.026104624950900004,0.002745168517821001,4.54127,281.107,92.863660282027851,5.7483093828158216
Barbados,2010,1.532032888,0.02515866981709999,0.0027580459178210021,4.4374,282.131,89.173716525656474,5.6696871630008534
Barbados,2011,1.431680878,0.026404358751900003,0.0027809511178210015,4.40752,282.987,93.305907168527185,5.9907518858451017
Barbados,2012,1.926933182,0.024816582121600018,0.0028743634217054431,4.3877,283.698,87.475350977447917,5.6559432325819943
Barbados,2013,1.810688761,0.025202074248100004,0.0029984831178210014,4.32577,284.294,88.647928722027217,5.8260319545653152
Barbados,2014,1.852327062,0.021917332165109996,0.0027616011178210019,4.3203,284.825,76.9501699819538,5.0731042207971653
Barbados,2015,1.609840058,0.0233143436,0.0029277635178210017,4.426,285.327,81.710961808731739,5.2675877993673748
Barbados,2016,1.711547679,0.023846818382,0.0030548480847054425,4.536,285.798,83.439416587939732,5.2572350930335094
Barbados,2017,1.73882031,0.0225275652164928,0.0029650664228210014,4.55766,286.229,78.704691755527222,4.9427919626503076
Barbados,2018,1.593928257,0.023989860569314288,0.0030325861688210013,4.53109,286.61,83.702105890632879,5.2945010073325154
Barbados,2019,1.702104465,0.024030263052293,0.0030492033848210013,4.52673,286.99,83.73205704830481,5.30852581273745
Colombia,1988,41.741466211,0.89702067889151971,1.6090759138320461,240.291,31822.5,28.18825293083572,3.733059827007752
Colombia,1989,43.302720807,0.95092237332114937,1.7736300450221494,249.458,32457.5,29.297462014053743,3.8119538091428193
Colombia,1990,45.545017981,0.94328349649358656,1.9218090339526215,259.781,33102.6,28.495752493568073,3.631071927868422
Colombia,1991,45.64321413,0.95322618341087761,1.8653920456583026,266.866,33758.3,28.236794607870586,3.5719281714826079
Colombia,1992,45.627835323,0.957480029510216,1.8894906833307605,278.106,34422.6,27.815447685828961,3.4428600228337971
Colombia,1993,49.94907226,1.0486031417889616,1.9816134651296824,293.981,35091.3,29.882140068591408,3.5669078674777
Colombia,1994,51.46905755,1.1002944439098918,2.0544461815497264,306.739,35759.0,30.7697207391116,3.5870705841444739
Colombia,1995,51.650999973,1.1139924804484245,2.4295582457658789,322.697,36421.4,30.586207022476465,3.4521315055560615
Colombia,1996,49.859156542,1.1905809247312884,2.6587446955473726,329.332,37076.4,32.111556805172249,3.6151389015682907
Colombia,1997,50.028284209,1.2082271668098554,2.7849868406111438,340.629,37723.8,32.028246539581261,3.5470472766847672
Colombia,1998,54.919082526,1.2239272364917517,2.9822405476398459,342.57,38364.3,31.902764718546972,3.5727799763311197
Colombia,1999,54.493185478,1.1777016078600522,3.1458517055277806,328.168,38999.5,30.197864276722836,3.58871555989631
Colombia,2000,49.087333481,1.1809759422938648,3.0087606311642219,338.493,39630.0,29.800049010695552,3.48892279099971
Colombia,2001,49.326557993,1.1806830561790749,3.0063612175900616,344.173,40256.0,29.329368446419785,3.43049296771994
Colombia,2002,49.305265071,1.1874640150066651,2.9304980107824479,352.791,40875.4,29.050823111374207,3.3659135720771367
Colombia,2003,48.644347855,1.1944121311370928,3.0277004930982749,366.614,41483.9,28.792185188400627,3.2579555912679079
Colombia,2004,47.68506091,1.2430142587211519,3.1415247205619115,386.166,42075.9,29.542190629817828,3.2188599170334826
Colombia,2005,47.774658007,1.2322010569625284,3.2755756732359944,403.339,42647.7,28.892555916556542,3.0550010213803485
Colombia,2006,47.331514297,1.2919208634678889,3.5018745757969847,430.43,43200.9,29.904952523393934,3.0014656586852424
Colombia,2007,49.335075092,1.2949134536981017,3.5334894018943626,459.434,43737.5,29.606480793326131,2.8184972241891146
Colombia,2008,48.877657404,1.2897614695063957,3.9263108284426496,474.519,44255.0,29.143858761866362,2.7180396770337873
Colombia,2009,46.742661536,1.2731036817696173,4.0755702655468768,479.927,44750.1,28.449180711766392,2.6527027688994727
Colombia,2010,51.367881395,1.2956040901529917,4.4165502171170337,501.498,45222.7,28.649419210993411,2.5834681098488765
Colombia,2011,50.91967204,1.4681150697032688,5.0617063804745559,536.341,45662.8,32.151227469696749,2.7372792117389291
Colombia,2012,58.775110568,1.5263351755915056,5.2346485032970245,557.326,46075.7,33.126684469069495,2.7386757043301504
